"positivosporidade"
5
6
7
10
13
17
13
8
16
13
14
28
14
14
14
26
16
32
20
23
34
35
31
30
33
40
44
39
40
36
53
56
69
69
78
61
53
71
75
75
91
92
80
111
123
100
110
227
140
139
174
209
169
173
166
188
176
163
142
155
145
124
98
116
103
93
77
69
53
49
34
15
16
16
17
14
5
8
5
10
3
4
6
4
3
3
5
8
6
2
